Overall,Preparation,Gaming,Attendance,Extra
3.35,2,0,2,1
3.467,0,0,2,1
3.72,0,2,2,1
3.75,2,2,2,1
3.94,0,1,2,1
1.0,0,2,3,0
1.06,0,2,1,0
1.25,1,2,2,1
1.44,0,2,3,1
1.5,0,2,3,0
1.56,0,2,3,0
1.57,0,2,3,0
1.57,0,2,1,1
1.6,0,2,1,0
1.62,0,2,3,0
1.69,0,2,3,0
1.71,0,2,1,1
1.72,0,2,1,0
1.75,0,2,1,0
1.75,0,2,1,1
1.75,0,2,1,0
1.8,0,0,2,1
1.86,0,2,1,0
1.88,0,2,1,1
1.89,0,2,1,0
1.9,0,2,3,0
1.9,0,2,3,0
1.92,0,2,1,0
1.97,1,2,1,0
2.0,0,0,1,0
2.0,1,2,1,1
2.02,0,2,1,0
2.1,0,2,1,0
2.1,0,2,3,0
2.1,1,2,1,0
2.17,0,2,0,0
2.17,0,2,0,0
2.17,0,2,0,0
2.17,0,2,0,0
2.2,0,2,1,1
2.22,0,2,1,0
2.25,0,2,0,0
2.25,1,2,1,1
2.25,0,2,0,0
2.25,0,2,0,0
2.28,1,2,1,1
2.3,0,2,0,0
2.3,1,2,1,1
2.31,0,2,0,0
2.31,0,2,0,0
2.31,0,2,0,0
2.33,2,2,1,0
2.33,0,2,0,0
2.33,0,2,0,0
2.33,0,2,0,0
2.35,0,2,0,0
2.35,0,2,0,1
2.35,0,2,0,1
2.38,0,2,0,0
2.38,0,2,0,0
2.38,0,2,0,0
2.38,0,2,0,0
2.41,1,2,1,0
2.44,0,2,0,0
2.44,0,2,0,0
2.45,0,2,2,0
2.45,1,2,1,0
2.47,1,2,1,0
2.5,1,0,2,1
2.5,0,2,1,0
2.5,0,2,0,0
2.53,1,2,1,1
2.55,0,1,2,1
2.55,1,2,1,0
2.56,0,2,0,0
2.56,0,2,0,0
2.56,0,2,0,0
2.58,2,2,2,1
2.64,0,2,0,0
2.69,0,2,0,0
2.69,0,2,0,0
2.69,0,2,0,0
2.69,0,2,0,0
2.7,0,2,1,0
2.7,0,2,1,0
2.7,0,2,1,0
2.75,2,2,2,1
2.75,1,1,2,1
2.75,0,2,2,1
2.75,0,2,1,0
2.75,0,2,1,0
2.75,0,2,1,0
2.75,0,2,1,0
2.75,0,2,1,0
2.75,0,2,1,0
2.75,0,2,1,0
2.75,0,2,1,0
2.75,0,2,1,0
2.75,0,2,1,0
