Department,Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall
0,1,4.17,4.84,3,1,3,2,0,2,0,3,1,7,3.22,3.35
0,0,4.92,5.0,8,0,3,0,0,2,0,3,1,8,3.467,3.467
0,1,5.0,4.83,5,1,3,0,2,2,0,4,1,4,4.0,3.72
0,1,4.0,4.5,0,0,5,2,2,2,0,5,1,5,3.8,3.75
0,0,2.19,3.17,5,1,3,0,1,2,0,3,1,5,3.94,3.94
1,1,4.75,4.05,5,1,3,0,2,3,0,4,0,3,1.0,1.0
1,1,4.42,5.0,0,1,4,0,2,1,0,2,0,3,1.06,1.06
1,1,4.5,4.81,8,0,3,1,2,2,0,4,1,1,2.95,1.25
1,1,3.32,4.5,4,0,4,0,2,3,0,3,1,6,1.42,1.44
1,0,3.33,4.95,6,0,3,0,2,3,0,4,0,3,1.5,1.5
1,1,4.17,5.0,5,1,3,0,2,3,0,4,0,3,1.56,1.56
1,1,3.58,4.56,8,1,4,0,2,3,0,4,0,10,1.57,1.57
1,1,4.5,4.75,5,1,1,0,2,1,0,2,1,9,1.57,1.57
1,1,4.5,4.75,8,1,1,0,2,1,0,2,0,9,1.0,1.6
1,1,3.83,5.0,3,1,2,0,2,3,0,4,0,3,1.62,1.62
1,1,4.33,4.64,6,0,5,0,2,3,0,4,0,3,1.69,1.69
1,0,4.51,4.75,5,1,1,0,2,1,0,2,1,9,1.83,1.71
1,1,4.5,4.75,5,1,1,0,2,1,0,2,0,3,1.69,1.72
1,1,3.92,4.72,0,1,3,0,2,1,0,2,0,6,1.33,1.75
1,1,3.92,5.0,0,1,4,0,2,1,0,2,1,3,1.75,1.75
1,1,4.08,5.0,3,1,3,0,2,1,0,2,0,3,1.25,1.75
1,1,3.67,4.86,5,0,2,0,0,2,0,3,1,4,1.79,1.8
1,1,4.0,5.0,5,0,3,0,2,1,0,2,0,3,1.63,1.86
1,1,3.75,4.73,8,1,5,0,2,1,0,4,1,3,1.88,1.88
1,1,3.5,5.0,8,0,1,0,2,1,0,4,0,6,1.89,1.89
1,1,4.2,5.0,8,0,4,0,2,3,0,4,0,10,1.45,1.9
1,0,4.58,4.94,0,1,3,0,2,3,0,4,0,6,1.33,1.9
1,1,3.0,4.06,3,1,3,0,2,1,0,4,0,3,1.92,1.92
1,1,4.17,5.0,5,0,3,1,2,1,0,3,0,3,2.06,1.97
1,1,4.42,5.0,5,0,3,0,0,1,0,2,0,1,2.33,2.0
1,1,4.0,4.78,3,1,3,1,2,1,0,4,1,9,2.16,2.0
1,1,4.5,4.75,4,1,1,0,2,1,0,2,0,6,1.5,2.02
1,1,4.5,4.75,5,1,1,0,2,1,0,2,0,9,1.64,2.1
1,1,3.5,4.78,0,1,2,0,2,3,0,4,0,6,1.33,2.1
1,1,3.82,5.0,5,0,4,1,2,1,0,4,0,4,2.5,2.1
1,1,4.5,5.0,0,1,4,0,2,0,1,4,0,0,2.23,2.17
1,0,4.58,3.96,8,0,3,0,2,0,0,4,0,9,2.11,2.17
1,1,3.23,4.33,3,0,3,0,2,0,0,4,0,4,2.17,2.17
1,1,2.17,4.33,8,1,1,0,2,0,0,4,0,4,2.08,2.17
1,1,3.67,4.28,8,0,5,0,2,1,0,4,1,6,1.94,2.2
1,1,3.8,4.94,5,1,3,0,2,1,0,4,0,10,2.0,2.22
1,1,3.25,4.94,0,1,3,0,2,0,0,4,0,10,2.25,2.25
1,0,4.5,4.75,0,1,1,1,2,1,0,4,1,8,2.25,2.25
1,1,4.0,4.72,8,1,3,0,2,0,0,4,0,3,2.25,2.25
1,1,3.42,4.78,5,1,2,0,2,0,0,4,0,3,2.25,2.25
1,1,4.0,5.0,0,1,2,1,2,1,0,3,1,3,2.31,2.28
1,1,3.33,4.19,0,1,4,0,2,0,0,4,0,10,2.3,2.3
1,1,4.25,4.38,1,0,3,1,2,1,0,4,1,8,2.25,2.3
1,1,3.75,5.0,5,0,3,0,2,0,0,3,0,3,2.31,2.31
1,0,3.58,5.0,5,1,4,0,2,0,0,4,0,3,2.31,2.31
1,1,4.25,5.0,0,1,4,0,2,0,0,4,0,3,2.31,2.31
